city,lat,long
New York,40.7127837,-74.0059413
Chicago,41.8781136,-87.6297982
Los Angeles,34.0522342,-118.2436849
Washington,38.9071923,-77.0368707
Houston,29.7604267,-95.3698028
Philadelphia,39.9525839,-75.1652215
Phoenix,33.4483771,-112.0740373
San Diego,32.715738,-117.1610838
Dallas,32.7766642,-96.7969879
Detroit,42.331427,-83.0457538
San Francisco,37.7749295,-122.4194155
San Antonio,29.4241219,-98.4936282
Atlanta,33.7489954,-84.3879824
Las Vegas,36.1699412,-115.1398296
Baltimore,39.2903848,-76.6121893
Boston,42.3600825,-71.0588801
"Jacksonville, Fla.",30.3321838,-81.655651
"El Paso, Texas",31.7775757,-106.4424559
"Columbus, Ohio",39.9611755,-82.9987942
Cleveland,41.49932,-81.6943605
"Tucson, Ariz.",32.2217429,-110.926479
"Newark, N.J.",40.735657,-74.1723667
"Austin, Texas",30.267153,-97.7430608
"Memphis, Tenn.",35.1495343,-90.0489801
Milwaukee,43.0389025,-87.9064736
"San Jose, Calif.",37.3382082,-121.8863286
Miami,25.7616798,-80.1917902
Denver,39.7392358,-104.990251
"Sacramento, Calif.",38.5815719,-121.4943996
"Charlotte, N.C.",35.2270869,-80.8431267
"Tampa, Fla.",27.950575,-82.4571776
Indianapolis,39.768403,-86.158068
"Santa Ana, Calif.",33.7455731,-117.8678338
New Orleans,29.9510658,-90.0715323
"Oakland, Calif.",37.8043637,-122.2711137
"Orlando, Fla.",28.5383355,-81.3792365
"Oklahoma City, Okla.",35.4675602,-97.5164276
Seattle,47.6062095,-122.3320708
"Kansas City, Mo.",39.0997265,-94.5785667
"Nashville, Tenn.",36.1626638,-86.7816016
"Laredo, Texas",27.5305671,-99.4803241
"Fort Worth, Texas",32.7554883,-97.3307658
"Louisville, Ky.",38.2526647,-85.7584557
"Norfolk, Va.",36.8507689,-76.2858726
"Arlington, Va.",38.8903896,-77.0841446
Pittsburgh,40.4406248,-79.9958864
"Albuquerque, N.M.",35.0853336,-106.6055534
"Jersey City, N.J.",40.7281575,-74.0776417
"Raleigh, N.C.",35.7795897,-78.6381787
"Rochester, N.Y.",43.16103,-77.6109219
Cincinnati,39.1031182,-84.5120196
"Long Beach, Calif.",33.7700504,-118.1937395
"Birmingham, Ala.",33.5206608,-86.80249
"Wichita, Kan.",37.688889,-97.336111
"Virginia Beach, Va.",36.8529263,-75.977985
"Fresno, Calif.",36.7468422,-119.7725868
"Buffalo, N.Y.",42.8864468,-78.8783689
Minneapolis,44.977753,-93.2650108
"Portland, Ore.",45.5230622,-122.6764816
"Reno, Nev.",39.5296329,-119.8138027
"Richmond, Va.",37.5407246,-77.4360481
"Baton Rouge, La.",30.4582829,-91.1403196
"Jackson, Miss.",32.298756,-90.184807
"Riverside, Calif.",33.9533487,-117.3961564
"Fort Lauderdale, Fla.",26.122438,-80.137314
St. Louis,38.6270025,-90.1994042
"Brownsville, Texas",25.901747,-97.497482
"Albany, N.Y.",42.652580,-73.756233
"Colorado Springs, Colo.",38.8338816,-104.8213634
"Savannah, Ga.",32.076176,-81.088371
"Winston-Salem, N.C.",36.0998596,-80.244216
"Toledo, Ohio",41.6639383,-83.555212
"Madison, Wis.",43.0730517,-89.4012302
"Corpus Christi, Texas",27.8005828,-97.396381
"San Bernardino, Calif.",34.1083449,-117.2897652
